subject,predicate,object
고객:김민수,보유,단말기:갤럭시S25
고객:김민수,가입,요금제:5G스탠다드
고객:김민수,등급,VIP
고객:김민수,가입연차,3
고객:김민수,결합가입,결합:가족결합3회선
고객:이서연,보유,단말기:아이폰13
고객:이서연,가입,요금제:5G프리미엄
고객:이서연,등급,일반
고객:박준호,보유,단말기:갤럭시J7
고객:박준호,가입,요금제:LTE세이브
고객:박준호,등급,일반
요금제:5G프리미엄,사용가능망,통신망:5G
요금제:5G스탠다드,사용가능망,통신망:5G
요금제:5G슬림,사용가능망,통신망:5G
요금제:5G라이트,사용가능망,통신망:5G
요금제:LTE프리미엄,사용가능망,통신망:LTE
요금제:LTE스탠다드,사용가능망,통신망:LTE
요금제:LTE세이브,사용가능망,통신망:LTE
요금제:5G프리미엄,호환,단말기:갤럭시S25
요금제:5G스탠다드,호환,단말기:갤럭시S25
요금제:5G슬림,호환,단말기:갤럭시S25
요금제:5G라이트,호환,단말기:갤럭시S25
요금제:5G프리미엄,호환,단말기:아이폰13
요금제:5G스탠다드,호환,단말기:아이폰13
요금제:5G슬림,호환,단말기:아이폰13
요금제:LTE스탠다드,호환,단말기:갤럭시J7
요금제:LTE세이브,호환,단말기:갤럭시J7
요금제:5G프리미엄,가입가능,부가서비스:데이터세이프
요금제:5G스탠다드,가입가능,부가서비스:데이터세이프
요금제:5G프리미엄,가입가능,부가서비스:국제전화정액
요금제:5G스탠다드,가입가능,부가서비스:국제전화정액
요금제:5G슬림,가입가능,부가서비스:국제전화정액
요금제:5G슬림,상위대체,요금제:5G스탠다드
요금제:5G스탠다드,상위대체,요금제:5G프리미엄
요금제:LTE세이브,상위대체,요금제:LTE스탠다드
단말기:갤럭시S25,지원망,통신망:5G
단말기:갤럭시S25,지원망,통신망:LTE
단말기:아이폰13,지원망,통신망:5G
단말기:아이폰13,지원망,통신망:LTE
단말기:갤럭시J7,지원망,통신망:3G
단말기:갤럭시J7,지원망,통신망:LTE
위약금:W01,적용대상,약정:선택약정
위약금:W02,적용대상,약정:공시지원금
위약금:W03,적용대상,절차:요금제하향
위약금:W09,적용대상,절차:일괄해지
절차:일괄해지,필요승인,역할:팀장
절차:일괄해지,발생,위약금:W09
결합:가족결합3회선,할인액,8800
결합:가족결합3회선,적용대상,요금제:5G스탠다드
